name,phone,address,latitude,longitude
The Arvada Tavern,3036906269,5707 Olde Wadsworth Blvd 80002,39.8004945,-105.0818441
Williams & Graham,3039978886,3160 Tejon St 80211,39.7619656,-105.011031
The Cruise Room,3038251107,Oxford Hotel 80238,51.491008,-0.193881
Jakes Brew Bar,3039961006,2540 W Main St 80120,39.613559,-105.0178264
P S Lounge,3033201200,3416 E Colfax Ave 80206,39.7399059,-104.9468224
Bookbar,7204432227,4280 Tennyson St 80212,39.7751558,-105.0439653
Providence Tavern,3034625280,5280 W 25th Ave 80214,39.7528626,-105.0542938
Horseshoe Lounge,3038321180,414 E 20th Ave 80205,39.7474585,-104.9818613
Cana Wine Bar,3039937556,2554 S Bdwy 80210,39.670236,-104.987212
TRVE Brewing Co,3033511021,227 Broadway 80203,39.7199461,-104.987962
Highland Tavern,3034331990,3400 Navajo St 80211,39.7646381,-105.0039401
The Bar Car,7205248099,819 Colorado Blvd 80206,39.7294634,-104.9410574
Ace-Hi Tavern,3032799043,1216 Washington Ave 80402,39.7547559,-105.2212671
Crash 45,3039552835,321 E 45th Ave 80216,39.778453,-104.983113
The Thin Man,3033207814,2015 E 17th Ave 80206,39.7434535,-104.9630085
Prohibition,3038324840,504 E Colfax Ave 80203,39.7398669,-104.9808968
The 1up - LoDo,3037796444,1925 Blake St 80202,39.753957,-104.995217
Star Bar,7203282420,2137 Larimer St 80205,39.7546189,-104.9909367
My Brothers Bar,3034559991,2376 15th St 80202,39.756037,-105.009384
Cherry Cricket,3033227666,2641 E 2nd Ave 80206,39.7195627,-104.9562183
Stapleton Tap House,7204492337,8286 E Northfield Blvd 80238,39.7852116,-104.8917159
Bull & Bush,3037590333,4700 Cherry Creek Dr S 80246,39.7030961,-104.9324133
Upstairs Circus,7207222105,1500 Wynkoop St 80202,39.7511217,-105.001768
Stem Ciders,7204433007,2811 Walnut St 80205,39.7612539,-104.9836271
